시구,설치장소,주소,Latitude,Longitude,급속충전기(대),완속충전기(대),지원차종,x,y
서울특별시,마곡수명산파크5단지,서울특별시 강서구 내발산동 749,37.5519892,126.827068,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,마곡수명산파크8단지,서울특별시 강서구 내발산동 745,37.5516573,126.828652,0,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,마곡엠밸리3단지,서울특별시 강서구 마곡동 736,37.5681449,126.820128,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,마곡엠밸리6단지,서울특별시 강서구 마곡동 743,37.5653061,126.8207668,1,4,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,마곡힐스테이트,서울특별시 강서구 마곡동 725-1,37.5640306,126.817834,1,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,미주진로아파트,서울특별시 강서구 등촌동 701,37.5598381,126.8470289,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,방화동부센트레빌,서울특별시 강서구 방화동 875,37.574702,126.8149759,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,서울남부출입국 외국인사무소,서울특별시 강서구 마곡동 745,37.5610906,126.8214084,1,0,"SM3 Z.E,테슬라",,
서울특별시,염창힐스테이트 아파트,서울특별시 강서구 염창동 306,37.5513843,126.8735524,0,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,한국공항공사 고객전용주차장,서울특별시 강서구 과해동 676,37.5618103,126.7986587,1,0,"SM3 Z.E,테슬라",,
서울특별시,한국공항공사 서울,서울특별시 강서구 방화동 886,37.5650592,126.8029919,4,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,화곡초록 아파트,서울특별시 강서구 화곡동 1139,37.545684,126.8336232,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,관악구 평생학습관,서울특별시 관악구 신림동 1577-4,37.4829502,126.9224276,1,0,"SM3 Z.E,테슬라",,
서울특별시,강변테크노마트 주차장,서울특별시 광진구 구의동 546-4,37.5356993,127.095765,5,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,광진구청 주차장,서울특별시 광진구 자양동 777,37.5384193,127.0824491,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,구의삼성쉐르빌상가,서울특별시 광진구 구의동 199-18,37.5399001,127.0948193,3,0,"SM3 Z.E,테슬라",,
서울특별시,구의삼성쉐르빌아파트,서울특별시 광진구 구의동 199-18,37.5399001,127.0948193,0,5,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,뚝도충전소,서울특별시 광진구 자양3동 510-8,37.53619,127.0694554,2,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,자양2동유수지 공영주차장,서울특별시 광진구 뚝섬로 52길 74,37.5293839,127.0775297,2,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,장로회신학대학교,서울특별시 광진구 광장동 353,37.5501984,127.1037288,2,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,개봉대상아파트,서울특별시 구로구 개봉동 477,37.4823138,126.8497819,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,개봉영화 아파트,서울특별시 구로구 개봉동 475,37.4961871,126.8600063,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,고척LIG리가 아파트,서울특별시 구로구 고척동 340,37.5056324,126.8614298,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,고척스카이돔,서울특별시 구로구 고척동 63-6,37.498931,126.8670866,3,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,고척파크푸르지오,서울특별시 구로구 고척동 339,37.5076103,126.8581136,1,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,구로4동 주택가 공동,서울특별시 구로구 구로동 741-44,37.4896728,126.8869813,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
