시구,설치장소,주소,급속충전기(대),완속충전기(대),지원차종,x,y
서울특별시,마곡힐스테이트,서울특별시 강서구 마곡동 725-1,1,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,미주진로아파트,서울특별시 강서구 등촌동 701,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,방화동부센트레빌,서울특별시 강서구 방화동 875,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,서울남부출입국 외국인사무소,서울특별시 강서구 마곡동 745,1,0,"SM3 Z.E,테슬라",,
서울특별시,염창힐스테이트 아파트,서울특별시 강서구 염창동 306,0,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,한국공항공사 고객전용주차장,서울특별시 강서구 과해동 676,1,0,"SM3 Z.E,테슬라",,
서울특별시,한국공항공사 서울,서울특별시 강서구 방화동 886,4,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,화곡초록 아파트,서울특별시 강서구 화곡동 1139,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,관악구 평생학습관,서울특별시 관악구 신림동 1577-4,1,0,"SM3 Z.E,테슬라",,
서울특별시,강변테크노마트 주차장,서울특별시 광진구 구의동 546-4,5,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,광진구청 주차장,서울특별시 광진구 자양동 777,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,구의삼성쉐르빌상가,서울특별시 광진구 구의동 199-18,3,0,"SM3 Z.E,테슬라",,
서울특별시,구의삼성쉐르빌아파트,서울특별시 광진구 구의동 199-18,0,5,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,뚝도충전소,서울특별시 광진구 자양3동 510-8,2,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,자양2동유수지 공영주차장,서울특별시 광진구 뚝섬로 52길 74,2,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,장로회신학대학교,서울특별시 광진구 광장동 353,2,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,개봉대상아파트,서울특별시 구로구 개봉동 477,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,개봉영화 아파트,서울특별시 구로구 개봉동 475,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,고척LIG리가 아파트,서울특별시 구로구 고척동 340,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,고척스카이돔,서울특별시 구로구 고척동 63-6,3,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,고척파크푸르지오,서울특별시 구로구 고척동 339,1,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,구로4동 주택가 공동,서울특별시 구로구 구로동 741-44,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,구로구청 주차장,서울특별시 구로구 구로동 435,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,구로리공원,서울특별시 구로구 구로동 139-82,1,0,"SM3 Z.E,테슬라",,
서울특별시,구로삼성래미안,서울특별시 구로구 구로동 256-1,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,구로중앙하이츠아파트,서울특별시 구로구 구로동 1269,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,근상프리즘아파트,서울특별시 구로구 구로동 1283,0,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,동아한신아파트,서울특별시 구로구 고척동 327,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,롯데 아파트,서울특별시 구로구 구로동 1263,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,신구로자이 아파트,서울특별시 구로구 구로동 501,0,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,오류푸르지오,서울특별시 구로구 오류동 346,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,항동하버라인3단지,서울특별시 구로구 항동 242,0,10,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,금나래체육문화센타,서울특별시 금천구 독산동 1148,1,0,"SM3 Z.E,테슬라",,
서울특별시,금천구청 지상 주차장,서울특별시 금천구 시흥동 1020,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
서울특별시,메이퀸 웨딩홀,서울특별시 금천구 독산동 152-1,2,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",,
